review_text,rating,brand,product_name,user_id,source,verified_purchase,review_date
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,infinix,IN717MP6HPFHTNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724EL0D6GTRNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724MT094EUMNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724MT094EUMNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724MT094EUMNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
,,itel,IT724MT094EUMNAFAMZ,,GSM Arena,False,2025-09-12 17:05:55.802564
